Flight Code,Date,Company,Pax,Gate,Passport,Departure Time (min),Departure Cluster,Departure Mu,index,SCHENGEN,TYPE,NATIONAL
TAR|25|15|D67,25/6/2023,TUNISAIR,100,58,False,15.0,0.0,0.0,0,False,LEG,False
RYR|25|355|D13,25/6/2023,RYANAIR,174,28,True,355.0,11.0,6.0,1,True,LC,True
TAP|25|355|D14,25/6/2023,TAP AIR PORTUGAL,126,26,False,355.0,11.0,5.0,2,True,LEG,False
WZZ|25|355|D15,25/6/2023,WIZZ AIR,234,70,False,355.0,11.0,6.0,3,True,LC,False
EJU|25|360|D14,25/6/2023,EASYJET EUROPE,227,41,False,360.0,12.0,7.0,4,True,LC,True
EJU|25|360|D15,25/6/2023,EASYJET EUROPE,178,65,False,360.0,12.0,7.0,5,True,LC,True
NOS|25|360|D16,25/6/2023,NEOS,324,36,False,360.0,12.0,5.0,6,False,LEISURE,False
DLH|25|375|D65,25/6/2023,LUFTHANSA,153,19,False,375.0,12.0,6.0,7,True,LEG,False
RYR|25|380|D4,25/6/2023,RYANAIR,174,55,False,380.0,12.0,7.0,8,True,LC,True
RYR|25|385|D26,25/6/2023,RYANAIR,173,11,False,385.0,12.0,7.0,9,True,LC,True
RYR|25|395|D15,25/6/2023,RYANAIR,171,68,False,395.0,13.0,8.0,10,True,LC,False
RYR|25|400|D81,25/6/2023,RYANAIR,158,75,True,400.0,13.0,8.0,11,True,LC,True
KLM|25|400|D82,25/6/2023,KLM,176,13,False,400.0,13.0,7.0,12,True,LEG,False
NOS|25|405|D24,25/6/2023,NEOS,185,5,False,405.0,13.0,8.0,13,True,LEISURE,False
RYR|25|410|D37,25/6/2023,RYANAIR,106,17,False,410.0,13.0,8.0,14,True,LC,False
RYR|25|415|D75,25/6/2023,RYANAIR,170,57,False,415.0,13.0,8.0,15,True,LC,False
NOS|25|415|D76,25/6/2023,NEOS,333,47,False,415.0,13.0,6.0,16,False,LEISURE,False
THY|25|415|D77,25/6/2023,TURKISH AIRLINES,151,64,False,415.0,13.0,5.0,17,False,LEG,False
