Flight Code,Date,Company,Pax,Gate,Passport,Departure Time (min),Departure Cluster,Departure Mu,index,SCHENGEN,TYPE,NATIONAL
RYR|1|355|D50,1/6/2023,RYANAIR,181,42,0,355.0,11.0,3.0,1,False,LC,False
RYR|1|355|D49,1/6/2023,RYANAIR,172,49,0,355.0,11.0,5.0,0,True,LC,False
RYR|1|355|D51,1/6/2023,RYANAIR,177,54,0,355.0,11.0,5.0,2,True,LC,True
TAP|1|355|D52,1/6/2023,TAP AIR PORTUGAL,102,21,0,355.0,11.0,4.0,3,True,LEG,False
EJU|1|360|D30,1/6/2023,EASYJET EUROPE,181,17,0,360.0,12.0,4.0,5,False,LC,False
EJU|1|360|D29,1/6/2023,EASYJET EUROPE,208,40,0,360.0,12.0,6.0,4,True,LC,True
EJU|1|360|D31,1/6/2023,EASYJET EUROPE,179,23,0,360.0,12.0,6.0,6,True,LC,False
RYR|1|360|D32,1/6/2023,RYANAIR,177,45,0,360.0,12.0,6.0,7,True,LC,False
EJU|1|370|D55,1/6/2023,EASYJET EUROPE,137,26,0,370.0,12.0,6.0,8,True,LC,True
RYR|1|370|D56,1/6/2023,RYANAIR,175,14,0,370.0,12.0,6.0,9,True,LC,True
DLH|1|375|D24,1/6/2023,LUFTHANSA,116,35,0,375.0,12.0,5.0,10,True,LEG,False
RYR|1|385|D13,1/6/2023,RYANAIR,173,27,0,385.0,12.0,6.0,11,True,LC,False
RYR|1|385|D14,1/6/2023,RYANAIR,182,11,0,385.0,12.0,6.0,12,True,LC,True
EJU|1|390|D30,1/6/2023,EASYJET EUROPE,172,60,0,390.0,13.0,7.0,13,True,LC,True
WZZ|1|390|D31,1/6/2023,WIZZ AIR,224,64,0,390.0,13.0,7.0,14,True,LC,True
KLM|1|400|D19,1/6/2023,KLM,145,24,0,400.0,13.0,4.0,16,False,LEG,False
RYR|1|400|D18,1/6/2023,RYANAIR,171,5,0,400.0,13.0,7.0,15,True,LC,True
WZZ|1|400|D20,1/6/2023,WIZZ AIR,206,32,0,400.0,13.0,7.0,17,True,LC,False
EJU|1|420|D92,1/6/2023,EASYJET EUROPE,155,39,0,420.0,14.0,6.0,20,False,LC,False
