Flight Code,Date,Company,Pax,Gate,Passport,Departure Time (min),Departure Cluster,Departure Mu,index,SCHENGEN,TYPE,NATIONAL
ABN|7|25|D82,7/6/2023,AIR ALBANIA,107,11,0,25.0,0.0,0.0,0,False,LEG,False
RYR|7|355|D64,7/6/2023,RYANAIR,163,4,0,355.0,11.0,5.0,1,True,LC,True
RYR|7|355|D65,7/6/2023,RYANAIR,162,6,0,355.0,11.0,5.0,2,True,LC,True
TAP|7|355|D66,7/6/2023,TAP AIR PORTUGAL,87,1,0,355.0,11.0,4.0,3,True,LEG,False
EJU|7|360|D52,7/6/2023,EASYJET EUROPE,120,13,0,360.0,12.0,6.0,4,True,LC,True
EJU|7|360|D53,7/6/2023,EASYJET EUROPE,173,10,0,360.0,12.0,6.0,5,True,LC,True
EJU|7|365|D42,7/6/2023,EASYJET EUROPE,125,20,0,365.0,12.0,6.0,6,True,LC,True
RYR|7|365|D43,7/6/2023,RYANAIR,139,7,0,365.0,12.0,6.0,7,True,LC,False
EJU|7|370|D69,7/6/2023,EASYJET EUROPE,176,17,0,370.0,12.0,6.0,8,True,LC,False
DLH|7|375|D36,7/6/2023,LUFTHANSA,96,8,0,375.0,12.0,5.0,9,True,LEG,False
RYR|7|380|D82,7/6/2023,RYANAIR,149,9,0,380.0,12.0,6.0,10,True,LC,True
EJU|7|390|D44,7/6/2023,EASYJET EUROPE,146,8,0,390.0,13.0,7.0,11,True,LC,True
RYR|7|390|D45,7/6/2023,RYANAIR,174,7,0,390.0,13.0,7.0,12,True,LC,True
WZZ|7|390|D46,7/6/2023,WIZZ AIR,209,1,0,390.0,13.0,7.0,13,True,LC,True
RYR|7|395|D3,7/6/2023,RYANAIR,114,7,0,395.0,13.0,5.0,14,False,LC,False
KLM|7|400|D34,7/6/2023,KLM,141,10,0,400.0,13.0,4.0,15,False,LEG,False
WZZ|7|400|D35,7/6/2023,WIZZ AIR,58,18,0,400.0,13.0,7.0,16,True,LC,True
EJU|7|405|D6,7/6/2023,EASYJET EUROPE,139,21,0,405.0,13.0,7.0,17,True,LC,True
WZZ|7|415|D45,7/6/2023,WIZZ AIR,211,20,0,415.0,13.0,5.0,18,False,LC,False
EJU|7|420|D31,7/6/2023,EASYJET EUROPE,93,17,0,420.0,14.0,6.0,21,False,LC,False
EJU|7|420|D32,7/6/2023,EASYJET EUROPE,166,12,0,420.0,14.0,6.0,22,False,LC,False
